"","MUID","y_cl","y_rd","s_fc","s_w","n","clay","ksat"
"1",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"2",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"3",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"4",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"5",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"6",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"7",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"8",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"9",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"10",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"11",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"12",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"13",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"14",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"15",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"16",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"17",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"18",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"19",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"20",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"21",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"22",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"23",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"24",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"25",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"26",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"27",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"28",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"29",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"30",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"31",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"32",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"33",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"34",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"35",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"36",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"37",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"38",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"39",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"40",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"41",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"42",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"43",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"44",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"45",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"46",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"47",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"48",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"49",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"50",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"51",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"52",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"53",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"54",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"55",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"56",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
"57",2566829,2000,150,31.68,19.94,0.733981451870803,33.7518656127119,33.5959322033898
